school_ID,school_name,n_test_takers,mean_reading_score,mean_math_score,mean_writing_score
15K144,Washington State University,627,415,474,319
86J745,Tabor College,57,425,390,421
17H839,Wright Institute,75,390,338,368
25K852,Dongbei University of Finance And Economics,48,446,351,375
02C945,University of Tuzla,54,464,479,331
34Q244,Middle Tennessee State University,32,418,460,385
11V217,Wuhan University School of Medicine,48,436,519,485
66G532,Center for Entrepreneurship and Small Business Management,302,490,353,306
72U519,Universidad de San Pablo CEU,18,375,251,359
71E808,Suwon University,54,436,419,378
58A963,Zhejiang Sci-Tech University ,57,312,270,424
87P531,Wittenberg University,1047,411,344,410
58X114,Iranian Academy of Persian Language and Literature,192,483,363,488
86A205,Burapha University,71,384,489,447
69H184,San Beda College,86,473,457,395
05I068,Postgraduate lnstitute of Medical Education and Research,212,413,511,472
65J565,Technological University (Meikhtila),31,371,336,516
42R622,University of Mindanao,50,414,470,386
62M361,Faculdades Integradas do Brasil - UNIBRASIL,104,408,433,379
59H121,Holy Apostles College,103,505,477,449
69A315,Southern Denmark Business School,103,402,366,523
58Z997,Bule Hora  University,32,350,336,408
74B798,Western States Chiropractic College,22,409,428,387
40D184,Brooks Institute of Photography,60,388,261,386
88U275,Université de Fianarantsoa,51,467,279,319
51R925,"St. Francis College, Loretto",50,379,346,372
11J281,Cevro Institut College,46,351,373,428
06O308,Saratov State Medical University,1047,410,403,377
80T805,Universidad de San Buenaventura,48,369,343,398
65N396,Khomeinishahr Payame Noor University,22,414,381,278
77G037,Planwel University,35,432,484,336
75F142,Antioch University Santa Barbara,35,358,388,434
07S709,University of Waikato,113,381,362,384
33P174,Technological Education Institute of Epiros,287,378,432,471
00P755,"Fachhochschule Landshut, Hochschule für Wirtschaft - Sozialwesen - Technik",50,496,352,500
89T879,International Business School of Scandinavia,15,374,318,393
41D432,International University of Health and Welfare,302,363,340,487
11R574,Mid-Continent Baptist Bible College,48,441,293,336
89G508,"Universidad Latinoamericana de Ciencia y Tecnologia, Panamá",686,370,499,334
43M174,"COMSATS Institute of Information Technology, Abbottabad",18,477,489,408
54O008,Afghan University,46,518,245,450
35A697,Tel Aviv University,40,397,385,447
00U417,Institut National des Télécommunications,15,316,374,395
71M542,Bharathidasan University,90,388,351,429
06N842,Shahrood University of Medical Sciences,24,432,415,433
90B819,Al Rasheed University College,71,351,442,486
72I732,Kaohsiung Medical College,63,304,333,450
38D404,Shanghai University of Finance and Economics,18,427,446,284
00P972,Universidad Latinoamericana,397,497,599,432
41W725,Southeast University,627,465,315,303
00J472,Universidad Abierta Interactiva,116,387,471,438
38M390,South Eastern University of Sri Lanka,68,443,377,501
95A633,Gomel State Medical University,19,352,390,429
88G137,National American University,16,432,465,335
14N740,Faculté Universitaire des Sciences Agronomiques de Gembloux,71,476,548,403
37B376,Panteios University of Economics and Political Sciences Athens,18,440,391,378
07I431,Darul Quran Islamic College University,75,392,400,420
21X087,Nagaoka University of Technology,15,463,389,371
42U162,Korea National Open University,13,432,414,351
59U045,Universidad Academia de Humanismo Cristiano,136,476,460,442
18Z522,University of Memphis,67,384,377,363
20E437,University of Science and Technology,90,386,394,268
27R946,Universidad de Morón,92,546,306,393
67T645,"Rajamangala University of Technology, Phra Nakhon",50,448,520,334
33O189,Perdana University,125,428,501,392
62Z554,Third University of Rome,16,404,385,359
97P519,"Bourgas University ""Prof. Assen Zlatarov""",41,443,534,375
52K847,"Washington State University, Vancouver",57,416,368,403
68E346,Amravati University,32,338,410,433
40K632,Polytechnic of Namibia,10,333,359,386
62P775,"Arkansas State University, Beebe",68,375,406,414
