school_ID,school_name,n_test_takers,mean_writing_score,mean_reading_score,mean_math_score
21T962,Trinity College of Music,52,417,423,433
58K646,Western States Chiropractic College,15,332,341,346
53W597,Pennsylvania Academy of the Fine Arts,29,478,482,494
34V058,Jimma University,50,370,378,385
20M087,Ashkelon Academic College,86,487,490,503
10N413,Universidade Estadual do Maranhão,212,377,384,391
60J033,University of Missouri - Saint Louis,50,521,523,538
21R187,Dillard University,67,396,403,411
39K922,Shizuoka University,686,437,442,452
26J407,Yan Shan University,212,509,511,525
58N664,Taurida National V.I.Vernadsky University,75,358,366,373
56K853,Urmia University of Medical Sciences,17,283,294,297
95M415,Seoul Teological University,343,477,481,493
10E204,Tokushima Bunri University,50,390,397,405
14Q985,Paichai University,103,429,434,444
21C318,Mendel University of Agriculture and Forestry,68,429,434,444
26A660,Olivet College,35,311,321,325
70A386,University of Messina,75,360,368,375
77U633,Mayo Medical School,50,587,586,604
50W034,Instituto Universitario de Estudios Navales y Marítimos,52,421,427,437
16U866,National Institute of Industrial Engineering,130,424,430,440
46E039,Faculdade Jaguariúna,125,392,399,407
67Y600,University of Mary,81,432,437,447
72E660,Purdue University Calumet,35,362,370,377
85M591,Hokkaigakuen University,130,340,349,354
23W481,"Universidad de Puerto Rico, Mayaguez",103,413,419,428
84R523,Worcester Polytechnic Institute,81,365,373,380
18L548,Aomori Chuoh Gakuin University,46,355,363,370
78H486,Universidad Tecnológica del Peru,71,331,340,345
50F939,COMSATS Institute of Information Technology,19,454,458,470
23J200,Université de 7 Novembre à Carthage,136,517,519,534
41Z196,Pontificia Universidad Católica Madre y Maestra (PUCMM),63,390,397,405
78I433,Seikei University,44,416,422,432
39I299,Khalifa University,51,397,404,412
11W357,Kigali Independent University,50,426,431,441
40Q393,Semera University,68,373,380,387
15L582,University College of Saint-Boniface,627,459,463,475
18B587,Catholic Theological Union,43,337,346,351
74Y437,Universidad Fundepos Alma Mater,14,420,426,436
02M864,L.N. Gumilyov Eurasian National University,63,343,352,357
59M772,Kiev National University of Construction and Architecture,60,336,345,350
69E638,Medical College of Wisconsin,54,410,416,425
75P412,Guangzhou University of Traditional Chinese Medicine,71,440,445,455
33U464,Kent State University - Trumbull,46,414,420,429
72O330,Virginia Wesleyan College,68,470,474,486
26P102,University of Nicosia,50,433,438,448
95Q503,Yorker International University,48,385,392,400
95Z146,Mamoun Private University for Science and Technology,10,362,370,377
58A011,Beth-El College of Nursing and Health Sciences,113,371,379,386
37E012,West Bengal University of Technology,116,334,343,348
33Q463,Koya University (Kurdistan Region),16,412,418,427
41W033,NTB Interstate University of Applied Sciences of Technology,343,431,436,446
66I747,Kagawa University,212,400,406,415
33O656,Columbia Southern University,32,406,412,421
88B916,Hokkaido University,54,461,465,477
62R152,Luxun Academy of Fine Art,31,460,464,476
39N075,Africa University,192,424,430,440
